,i,j,Lon,Lat,SL,UC,Code,Error
28623404,3405,2750,113.483333333333,-1.65000000000001,99999.0,-63.2112013878835,121,100
28623405,3406,2750,113.516666666667,-1.65000000000001,99999.0,-61.5954334629709,121,100
28623406,3407,2750,113.55,-1.65000000000001,99999.0,-59.6651373879176,121,100
28623407,3408,2750,113.583333333333,-1.65000000000001,99999.0,-57.511120304938,121,100
28623408,3409,2750,113.616666666667,-1.65000000000001,99999.0,-55.2238937411026,121,100
28623409,3410,2750,113.65,-1.65000000000001,99999.0,-52.8599549823494,121,100
28623410,3411,2750,113.683333333333,-1.65000000000001,99999.0,-50.4544069998463,121,100
28623411,3412,2750,113.716666666667,-1.65000000000001,99999.0,-48.0973821679479,121,100
28623412,3413,2750,113.75,-1.65000000000001,99999.0,-45.9234232236276,121,100
28634192,3393,2749,113.083333333333,-1.61666666666667,99999.0,-78.86241863637,121,100
28634193,3394,2749,113.116666666667,-1.61666666666667,99999.0,-75.4283324625458,121,100
28634194,3395,2749,113.15,-1.61666666666667,99999.0,-72.6575294028148,121,100
28634195,3396,2749,113.183333333333,-1.61666666666667,99999.0,-70.5724368237798,121,100
28634196,3397,2749,113.216666666667,-1.61666666666667,99999.0,-69.0968727144511,121,100
28634197,3398,2749,113.25,-1.61666666666667,99999.0,-68.0744182281445,121,100
28634198,3399,2749,113.283333333333,-1.61666666666667,99999.0,-67.3337990727134,121,100
28634199,3400,2749,113.316666666667,-1.61666666666667,99999.0,-66.7475700601646,121,100
28634200,3401,2749,113.35,-1.61666666666667,99999.0,-66.2097038022844,121,100
28634201,3402,2749,113.383333333333,-1.61666666666667,99999.0,-65.6115784737249,121,100
28634202,3403,2749,113.416666666667,-1.61666666666667,99999.0,-64.8531469015219,121,100
28634203,3404,2749,113.45,-1.61666666666667,99999.0,-63.8521001917131,121,100
28634204,3405,2749,113.483333333333,-1.61666666666667,99999.0,-62.5546398263688,121,100
28634205,3406,2749,113.516666666667,-1.61666666666667,99999.0,-60.9547874132389,121,100
28634206,3407,2749,113.55,-1.61666666666667,99999.0,-59.1074851517367,121,100
28634207,3408,2749,113.583333333333,-1.61666666666667,99999.0,-57.1052504140792,121,100
28634208,3409,2749,113.616666666667,-1.61666666666667,99999.0,-55.0173840475414,121,100
28634209,3410,2749,113.65,-1.61666666666667,99999.0,-52.8571542128813,121,100
28634210,3411,2749,113.683333333333,-1.61666666666667,99999.0,-50.6313464826313,121,100
28634211,3412,2749,113.716666666667,-1.61666666666667,99999.0,-48.4161656628972,121,100
28634212,3413,2749,113.75,-1.61666666666667,99999.0,-46.3373692008666,121,100
