i,j,Lon,Lat,SL,UC,Code,Error
3329,2919,"110,95","-7,283333333","129,6260657","122,6811857",13,212
3330,2919,"110,9833333","-7,283333333","141,9303821","134,8634321",13,212
3331,2919,"111,0166667","-7,283333333","154,8699616","147,6862416",13,212
3332,2919,"111,05","-7,283333333","167,1519559","159,8571459",13,212
3333,2919,"111,0833333","-7,283333333","176,2168079","168,8169479",13,212
3334,2919,"111,1166667","-7,283333333","182,5976648","175,0991348",13,212
3335,2919,"111,15","-7,283333333","184,8030987","177,2125987",13,212
3336,2919,"111,1833333","-7,283333333","181,6377773","173,9623073",13,212
3337,2919,"111,2166667","-7,283333333","177,1879741","169,4348241",13,212
3338,2919,"111,25","-7,283333333","175,3397869","167,5164869",13,212
3339,2919,"111,2833333","-7,283333333","176,6616779","168,7759979",13,212
3340,2919,"111,3166667","-7,283333333","179,3503858","171,4103058",13,212
3341,2919,"111,35","-7,283333333","181,4682124","173,4818824",13,212
3342,2919,"111,3833333","-7,283333333","181,4057203","173,3814703",13,212
3343,2919,"111,4166667","-7,283333333","178,7690936","170,7153536",13,212
3344,2919,"111,45","-7,283333333","175,6660641","167,5913841",13,212
3345,2919,"111,4833333","-7,283333333","173,260326","165,173316",13,212
3346,2919,"111,5166667","-7,283333333","171,5955178","163,5048478",13,212
3347,2919,"111,55","-7,283333333","171,5627741","163,4771241",13,212
3348,2919,"111,5833333","-7,283333333","173,1244488","165,0524988",13,212
3349,2919,"111,6166667","-7,283333333","176,0642903","168,0146803",13,212
3350,2919,"111,65","-7,283333333","179,8585571","171,8398571",13,212
3351,2919,"111,6833333","-7,283333333","183,2638296","175,2845196",13,212
3352,2919,"111,7166667","-7,283333333","185,9821365","178,0505865",13,212
3353,2919,"111,75","-7,283333333","189,2268005","181,3512305",13,212
3354,2919,"111,7833333","-7,283333333","192,3143181","184,5027781",13,212
3355,2919,"111,8166667","-7,283333333","193,0338794","185,2942194",13,212
3356,2919,"111,85","-7,283333333","190,6090064","182,9488764",13,212
3357,2919,"111,8833333","-7,283333333","186,1198535","178,5466435",13,212
3358,2919,"111,9166667","-7,283333333","181,7708663","174,2917063",13,212
3359,2919,"111,95","-7,283333333","178,9366344","171,5583844",13,212
3360,2919,"111,9833333","-7,283333333","177,1755182","169,9047282",13,212
3361,2919,"112,0166667","-7,283333333","176,2525154","169,0953954",13,212
3362,2919,"112,05","-7,283333333","177,7235303","170,6859903",13,212
3363,2919,"112,0833333","-7,283333333","181,8166953","174,9042453",13,212
3364,2919,"112,1166667","-7,283333333","186,5845518","179,8023718",13,212
3365,2919,"112,15","-7,283333333","191,550165","184,903035",13,212
